id,common_name,scientific_name,date,time,count,longitude,latitude,location,observer,group_name,date_only
368969345,Dark Fruit-tree Tortrix,Pandemis heparana,2025-08-17,07:52,1,4.811161666666667,52.330038333333334,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368969331,Beautiful Hook-tip,Laspeyria flexula,2025-08-17,07:52,1,4.811091666666667,52.330005,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368969315,,Celypha lacunana,2025-08-17,07:52,1,4.811113333333333,52.329971666666665,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368968946,Buff-tip,Phalera bucephala,2025-08-17,07:46,1,4.811121666666667,52.329975,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368968899,Setaceous Hebrew Character,Xestia c-nigrum,2025-08-17,07:45,1,4.811196666666667,52.32998666666667,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368968878,Vine's Rustic,Hoplodrina ambigua,2025-08-17,07:44,1,4.811203333333333,52.330005,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368968784,Green Silver-lines,Pseudoips prasinana,2025-08-17,07:43,1,4.811155,52.329995,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368968172,Vine's Rustic,Hoplodrina ambigua,2025-08-17,07:40,1,4.811091666666667,52.32996166666667,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368968083,Small Engrailed,Ectropis crepuscularia,2025-08-17,07:38,1,4.811096666666667,52.329953333333336,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
368962814,Brown House Moth,Hofmannophila pseudospretella,2025-08-17,00:46,1,4.9412418,52.3709585,Amsterdam - Oostelijk Havengebied,Suzan,Moths,2025-08-17
368961698,Double-striped Pug,Gymnoscelis rufifasciata,2025-08-17,00:45,1,4.9411804,52.370976,Amsterdam - Oostelijk Havengebied,Suzan,Moths,2025-08-17
368961389,,Noctua janthe / janthina,2025-08-17,00:36,1,4.841035699722222,52.468115699722226,Zaandam - Het Kalf,Ivo van Eldijk,Moths,2025-08-17
